Gene	Category	DAN	pDNA
ADAMDEC1	Other	0.317719931791648	0.0913525710391501
ADAMTS1	Other	-0.0318301540565959	-0.0446627442830921
ADAMTS10	Other	0.144512995293247	0.241526517789214
ADAMTS12	Other	-0.472149768014967	-0.671623269808355
ADAMTS13	Other	-0.0563727516703655	-0.160318342258071
ADAMTS14	Other	0.0948254309006542	-0.0461121259812817
ADAMTS15	Other	-0.0117875325935157	-0.161152872665444
ADAMTS16	Other	0.410131159642235	0.322601760991678
ADAMTS17	Other	0.433027955984827	0.219311060322711
ADAMTS18	Other	0.405138257070888	0.093103444195498
ADAMTS19	Other	0.0394766737972397	-0.201148280405348
ADAMTS2	Other	-0.540003672672994	-0.559721155019485
ADAMTS20	Other	0.928033292588265	0.774506818982096
ADAMTS3	Other	0.305188539086639	0.300741579712128
ADAMTS4	Other	-0.311169833554626	-0.564164160917909
ADAMTS5	Other	-0.314406491389491	-0.513161558429229
ADAMTS6	Other	0.322331827855549	0.149206598349344
ADAMTS7	Other	-0.445925314433739	-0.183292183561711
ADAMTS8	Other	0.652665880168899	0.548461475091041
ADAMTS9	Other	0.21349183777237	-0.0261278966511154
ADAMTSL1	Other	0.966050268814	0.850447285533415
ADAMTSL2	Other	-1.40048422602447	-1.43615926965081
ADAMTSL3	Other	0.0195284493772275	-0.247714312482797
ADAMTSL4	Other	-0.255472743972039	-0.314754603217043
ADAMTSL5	Other	-0.792530363209666	-0.702779669904806
ADAP1	Other	-0.107641670074972	-0.130581529947393
ADAP2	Other	0.032786248013514	0.197524772921199
ADAR	Other	-0.473296020231786	0.141920707846002
ADARB1	Other	0.228168169728931	0.14761039128882
ADARB2	Other	0.459159649451716	0.297838809027904
ADAT1	Other	0.064927405681857	0.105830149357105
ADAT2	Other	-1.13440698576915	-0.309499841259532
ADAT3	Other	-0.577206705401846	-0.191532351500949
ADCK1	Other	0.356572330152218	0.310561754090992
ADCK2	Other	-0.308070689679505	-0.454548751906306
ADCK3	Other	-0.0657683568083586	-0.191994307876518
ADCK4	Other	0.158869043058398	0.185974994125918
ADCK5	Other	-0.512622759416417	-0.601876938719205
ADCY1	Other	0.377944380510002	0.189113336591627
ADCY10	Other	0.0893644503183086	-0.101522474047601
ADCY2	Other	0.266905623843908	0.14235815345089
ADCY3	Other	-0.33028899355223	0.0712312716030201
ADCY4	Other	0.287546364029527	0.316176156628031
ADCY5	Other	0.456816156884657	0.280731517015073
ADCY6	Other	0.00191594375549568	-0.0635017956525918
ADCY7	Other	-0.345043487619402	-0.341916337077786
ADCY8	Other	0.315931158028165	0.164509079919027
ADCY9	Other	-0.339412994716825	-0.317669614365802
ADCYAP1	Other	0.377494734034712	0.163614983917254
ADCYAP1R1	Other	0.406969657061341	0.225660792443795
ADD1	Other	1.51057646108374	1.39319236658758
ADD2	Other	0.0366562959177838	0.172527853475682
ADD3	Other	0.283618306211759	0.327156209497709
ADH1A	Other	0.422061719968512	0.395708398194198
ADH1B	Other	0.311649427547248	0.189342329864216
ADH4	Other	0.342660010599577	0.253688025201943
ADH5	Other	0.960777116654656	1.01080058361049
ADH6	Other	0.302753943839893	0.0678216411320624
ADH7	Nonessential	0.447217330991569	0.416933750604633
ADHFE1	Other	1.48449042203004	1.33023154049061
ADI1	Other	-0.256706968757219	-0.406621655941052
ADIG	Other	0.546894691493021	0.44659969727098
ADIPOQ	Other	0.260329412271559	0.141399116246972
ADIPOR1	Other	0.24946225866909	0.00171252160405387
ADIPOR2	Other	1.09245713522942	0.79612008037402
ADIRF	Other	-0.142183844157118	-0.243548135777668
ADK	Other	0.577298695178856	0.796551289844713
ADM	Other	0.217171468744244	0.101114016895846
ADM2	Other	0.195112103647551	-0.0502515217010168
ADM5	Other	0.392303847693613	0.362617890835963
ADNP	Other	-0.145446385527957	0.0755375731321522
ADNP2	Other	0.453764768320279	0.217572496136339
ADO	Other	0.257031586319608	0.105807137418653
ADORA1	Other	0.183249386724721	0.127983258532193
ADORA2A	Other	0.738734920038431	0.839110830644462
ADORA2B	Other	0.0151697295205567	-0.0624280711038977
ADORA3	Other	0.753124972524901	0.624304018602994
ADPGK	Other	-0.331385427547273	-0.379954633981859
ADPRH	Other	-0.339787012799205	-0.363387423856526
ADPRHL1	Other	0.438416497296515	0.558243398860184
ADPRHL2	Other	-0.0557437402430262	-0.100067085565732
ADPRM	Other	0.279051578903803	0.245567665465326
ADRA1A	Other	0.158839546425572	-0.178436680588254
ADRA1B	Other	1.12758703451396	0.993341736224578
ADRA1D	Other	0.0675469772838157	-0.0765625211559049
ADRA2A	Other	-0.249805069739501	-0.325207144595239
ADRA2B	Other	0.0991118012173984	0.14043949290631
ADRA2C	Other	0.268089084910497	0.0995252531622445
ADRB1	Other	0.16878883031921	0.0128129767672678
ADRB2	Other	-0.344408598264269	-0.568030207362302
ADRB3	Other	0.72598889540905	0.898087627724694
ADRBK1	Other	-0.40471687306703	0.0990735938441895
ADRBK2	Other	0.452794884555549	0.411166602230502
ADRM1	Other	-0.333199197389317	-0.00592953256621516
ADSL	Other	-0.919751523356443	-0.00820172504183123
ADSS	Other	-0.0889636751989193	0.175698926955792
ADSSL1	Other	-0.492198207092586	-0.625064983146141
ADTRP	Other	0.241149889262354	0.197562258988732
AEBP1	Other	0.727407801693319	0.894859911154183
AEBP2	Other	0.341621433412448	1.12669018651966
AEN	Other	0.312176443937034	0.178377085018352
AES	Other	0.396998734783582	0.376986936553727
AFAP1	Other	0.579255492789542	0.347095520555257
AFAP1L1	Other	-0.221459377822305	-0.300732323506471
AFAP1L2	Other	0.494633055470255	0.474429491201205
AFF1	Other	0.388065880692878	0.191984128816916
AFF2	Other	0.0263741447225678	-0.24212744557183
AFF3	Other	-0.108295082528931	-0.139239794673024
AFF4	Other	0.290707948933452	0.357653379385614
AFG3L2	Other	-1.14309069584277	-0.192512987490625
AFM	Nonessential	0.284350962271347	0.212643656935196
AFMID	Other	0.448060918077318	0.400030985620304
AFP	Other	0.118273099885265	0.147216394088391
AFTPH	Other	-0.0581637532550073	-0.222380436871682
AGA	Other	0.866378815636793	0.635287786551083
AGAP1	Other	0.504384032732188	0.557994466621694
AGAP2	Other	0.0210012412040527	-0.0222805065639272
AGAP3	Other	0.30523346460369	0.0707688703770797
AGAP4	Other	1.11213832443559	2.34979498017805
AGAP5	Other	0.261930955296081	0.566531735725356
AGAP6	Other	-0.206003488903592	0.362688396249554
AGAP7P	Other	0.573760827513363	1.36018338252684
AGAP9	Other	0.234307150740551	0.883265128004071
AGBL2	Other	-0.0966470946124125	-0.011230394613396
AGBL3	Other	1.2245344111396	1.20574276517979
AGBL4	Other	0.378229872797457	0.456456763326864
AGBL5	Other	0.516449820615395	0.677935271115217
AGER	Other	0.937966536343838	0.762423670548426
AGFG1	Other	0.849789566509074	0.812423107931795
AGFG2	Other	0.0691371628923327	0.063239619225462
AGGF1	Other	-0.421754499073588	-0.407156462581975
AGK	Other	0.909034712285861	0.713672897674783
AGL	Other	0.538129859070861	0.599356864093102
AGMAT	Other	-0.0590079712886241	-0.328375812632213
AGMO	Other	0.621604601563816	0.395372283972752
AGO1	Other	-0.0982679328536746	-0.017677094084256
AGO2	Other	-0.437692025335418	-0.0803296885502968
AGPAT1	Other	-0.096798142047838	-0.228714703874684
AGPAT2	Other	-0.400228592054613	-0.541587986512329
AGPAT3	Other	0.241778787694595	0.10192320231387
AGPAT4	Other	0.0416769277785738	-0.0776552950996383
AGPAT5	Other	0.173421147365098	0.0502514831988524
AGPAT6	Other	0.272878634728773	0.127041875081905
AGPAT9	Other	0.994704208225257	0.842625081537848
AGPS	Other	0.25585408603841	0.101915848714645
AGR2	Other	0.597484453277127	0.653414761944435
AGR3	Other	1.53724008647109	1.39066707179873
AGRN	Other	0.353789394820347	0.237934119235581
AGRP	Other	0.597029474813528	0.42438261967223
AGT	Other	0.336226618570599	0.179640775106192
AGTPBP1	Other	0.0137672053866275	-0.273834956995876
AGTR1	Other	-0.0839954808781059	-0.033456238434758
AGTR2	Other	-0.87735874221609	-0.949055769525288
AGTRAP	Other	0.715595585137859	0.541803353931685
AGXT	Other	0.254626563650008	0.197320691954004
AGXT2	Other	-0.272956106259281	-0.467047087967031
AHCTF1	Other	-0.194985821631685	0.679964166484359
AHCY	Other	-0.539099520310465	0.00374601184998135
AHCYL1	Other	0.755123159274324	0.878701003590222
AHCYL2	Other	0.829648381107845	0.846188072462438
AHDC1	Other	0.502146612495286	0.267328654664519
AHI1	Other	0.246967047184509	0.283260411797352
AHNAK	Other	0.272333751003255	0.308973463034019
AHNAK2	Other	0.324341373061599	-0.00212039817373511
AHR	Other	0.14283886017851	-0.06824866034904
AHRR	Other	-0.298216560570968	-0.374205326711541
AHSA1	Other	1.04787425826005	0.964261569078216
AHSA2	Other	0.52970143556964	0.65594615046503
AHSG	Other	-0.100715484159385	-0.216385247859875
AHSP	Other	-0.0465923510132181	-0.00819325118666093
AICDA	Nonessential	0.116586076054592	0.0476205506646259
AIDA	Other	0.418195027146999	0.448351057455515
AIF1	Other	0.688811365781766	0.888860985540037
AIF1L	Other	-0.281682516344438	-0.192756374787923
AIFM1	Other	0.30204113101493	1.20390202146471
AIFM2	Other	0.0956720493977672	0.0620705529485662
AIFM3	Other	-0.1197352677012	0.000102354558060441
AIG1	Other	-0.518368700588287	-0.47060752778663
AIM1	Other	-0.150910545843306	-0.267811778310185
AIM2	Other	0.313183381140206	0.217269977300535
AIMP1	Other	-0.461987077051305	-0.529626151019066
AIMP2	Other	0.38745191556781	0.54771105864446
AIP	Other	1.09870023951255	0.922080184729559
AIPL1	Nonessential	1.18839683157656	1.24244713877538
AIRE	Other	0.235307558357165	0.0640791770946742
AJAP1	Other	0.01953954981784	-0.0766659120104538
AJUBA	Other	0.0949575583593715	0.343534514277774
AK1	Other	0.715899980559361	0.648853558897148
AK2	Other	-0.660948663126895	-0.794049286279553
AK3	Other	0.343700178170562	0.339642060822017
AK4	Other	-0.0699506026720486	0.101444952051346
AK5	Other	-0.531413012138755	-0.520258785690816
AK7	Other	0.590478223460878	0.696941406827845
AK8	Other	1.36606388992735	1.27327237769538
AK9	Other	0.349208255259847	0.290139198658242
AKAP1	Other	0.120646063022489	-0.0871936077324177
AKAP10	Other	-0.363037341958844	-0.366180698589953
AKAP11	Other	0.439210501153826	0.116553927684527
AKAP12	Other	0.122082505630949	0.00870557808831474
AKAP13	Other	0.361339203368535	0.102674569005461
AKAP14	Other	0.803445201969169	0.68952809631536
AKAP17A	Other	0.0400279631435252	-0.268652365226376
AKAP2	Other	0.520047118647203	0.380542765397205
AKAP3	Other	0.691384883748186	0.525645439796023
AKAP4	Other	0.505737092830211	0.273838312887675
AKAP5	Other	0.23171904664537	0.0129921015524844
AKAP6	Other	-0.0786644071682282	0.0103195571746707
AKAP7	Other	-0.348456003795653	-0.330221837124655
AKAP8	Other	0.743881036150931	0.726623766958319
AKAP8L	Other	0.0461829840821938	0.108007173077891
AKAP9	Other	0.341743498309277	0.358788178853158
AKIP1	Other	0.452498289361119	0.438516852497828
AKIRIN1	Other	-0.363690446098692	-0.5141978278493
AKIRIN2	Other	-0.55829575777501	-0.1414287020714
AKNA	Other	0.154289077409027	0.00597325062280071
AKNAD1	Other	0.49683602992686	0.594519576001619
AKR1A1	Other	0.723204077135033	0.582224740186383
AKR1B1	Other	-0.301788512798366	-0.64149925462709
AKR1B10	Other	0.267140175610366	0.0313233932322508
AKR1B15	Other	-0.0549821194831865	-0.0260781066363688
AKR1C1	Other	1.41600555517081	1.2763408555325
AKR1C2	Other	0.568251356217909	0.341233586394345
AKR1C3	Other	1.47801235526959	1.33263933903574
AKR1C4	Other	0.0850630442699672	-0.00566745092000845
AKR1D1	Other	0.273663953257379	0.252669405277509
AKR1E2	Other	0.489410694911165	0.337403373369426
AKR7A2	Other	-0.287712422703396	-0.341773136235967
AKR7A3	Other	0.0404295345595229	0.161149779682631
