Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ACSL1	Other	0.127944134615969	0.14673262575514	0.306527255380925	0.258315229962671
ACSL3	Other	-0.344194181083689	-0.206047206463279	-0.212432524902578	-0.37983059361131
ACSL4	Other	-0.14766554342427	-0.0158400503193526	0.00353570361421046	-0.0136479217340382
ACSL5	Other	0.194365316264293	0.460392550089139	0.271609885511187	0.350830445679717
ACSL6	Other	-0.0552566756253014	-0.144089525156622	-0.0598003045749616	0.0311616461700326
ACSM1	Other	0.0307744619005824	-0.053403594884285	0.00396730754678717	-0.0518167222700454
ACSM2A	Other	-0.322674896490984	-0.124427061061983	-0.123932914835747	-0.208258343392758
ACSM2B	Other	0.124144890947894	0.0229178201808101	0.0729463280258582	0.104871518204363
ACSM3	Other	0.024353782768534	-0.0970421644124177	-0.136842707708432	-0.00286496524529833
ACSM4	Other	0.243961201159466	0.0233234120437762	0.321092245885315	0.0159218322488708
ACSM5	Other	-0.0953452214380119	-0.0154817063582135	-0.00215161493455174	-0.132015223741208
ACSM6	Other	0.189225881737277	0.104902142759672	0.0616405651525718	0.0993369428133492
ACSS1	Other	0.34942868765946	0.152704928674221	0.22322947444372	0.202813309290664
ACSS2	Other	0.364087047539993	0.338207992762627	0.370444748539634	0.247025073981441
ACSS3	Other	0.114381337794956	0.181430808274011	0.147323446777435	0.316962310752179
ACTA1	Other	-0.0464564392263562	0.0612909751986002	-0.111450808800048	0.186073170940748
ACTA2	Other	-0.153304383460602	0.0652134085083115	-0.226843752254313	-0.01115302924596
ACTB	Other	-1.0871750476843	-1.18945100765763	-1.03651922023063	-0.909723995502969
ACTBL2	Other	0.163176069740298	0.273657815506303	0.168346208970419	0.0355035781499136
ACTC1	Other	0.0300684366858697	0.112866577178892	-0.0160070612069447	0.0155789007317336
ACTG1	Other	-0.109134449861074	-0.365269894776308	-0.120240670238226	-0.204403503454122
ACTG2	Other	0.0659563711564096	0.124651220391806	0.155458329315118	0.230552534024327
ACTL10	Other	0.178736784066159	0.19575167999693	0.142792396058216	0.149222775280802
ACTL6A	Other	-1.10789097362167	-1.03110417882155	-0.993230890085247	-1.07623436198931
ACTL6B	Other	0.152879729311738	0.00423418556515978	0.151854849414656	0.0768235590998116
ACTL7A	Nonessential	-0.192717254543836	0.0496516897264242	-0.0185195720707064	-0.0546058998493557
ACTL7B	Nonessential	0.169578540172878	-0.0859012489759414	0.0325229692679603	0.0899633359922396
ACTL8	Other	0.0985638624578881	0.221754117403939	-0.0405013239476459	-0.017240200989001
ACTL9	Nonessential	0.349392984873614	0.190932376091103	0.14368988253388	0.0251699330602967
ACTN1	Other	0.134848412867759	0.0932280755878149	0.0549246792084045	0.291923446168383
ACTN2	Other	0.149069657616188	0.0154386847273262	0.0369423178345574	0.0738487965623888
ACTN4	Other	-0.0103429870341126	-0.0389985208347791	0.0332757620620544	-0.0758538410440947
ACTR10	Other	-0.619625040019136	-0.402216609826853	-0.670365692118438	-0.470218867745347
ACTR1A	Other	-0.0102988592045126	-0.0981827982052463	-0.0668723926873271	-0.148540078981992
ACTR1B	Other	-0.0659101991099781	-0.0283700211607754	-0.147982818244745	-0.179958680410123
ACTR2	Other	-1.3819863163907	-1.21681710201223	-1.49661157295567	-1.17002685505034
ACTR3	Other	-0.560884099150023	-0.602218501218038	-0.468486919761202	-0.537580301516552
