Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6	pDNA_0	pDNA_2
ACOT1	Other	-0.209995621564913	-0.401692205480386	-0.138307778363665	-0.30644070161831	-0.404284036385898	-0.525305819713427
ACOT11	Other	-0.213667434569055	-0.237320036533565	-0.11263888927568	-0.238875629213651	-0.297411793699666	-0.239690687443992
ACOT12	Other	-0.0139704059325665	0.121439754614017	-0.00515759220117807	-0.0300712186973047	0.47971793197326	0.413069770157027
ACOT13	Other	-0.334745593807173	-0.633376094905339	-0.517905362206863	-0.513789673373688	-0.629090371267781	-0.674426195991794
ACOT2	Other	0.118075930412683	0.309152201741924	-0.0617592303244984	0.123299397817553	-0.0127193876843227	0.00345614858829758
ACOT4	Other	-0.249894597334545	-0.059983699749009	-0.13773643662735	-0.0616559608438261	-0.0394646598395601	-0.109742994918894
ACOT6	Other	0.139915307329179	0.0698474062695036	0.0939365721677376	0.236169071282937	0.184690652872446	0.3131401375969
ACOT7	Other	-0.0271564844090012	-0.152922038170512	-0.0671742662816281	0.0375587790766029	-0.328716118777758	-0.194146131807656
ACOT8	Other	-0.379307471612874	-0.44171915768435	-0.365180291962832	-0.545805341728928	-0.52194826245285	-0.511286579758312
ACOT9	Other	0.471896891363918	0.548717865900611	0.431104080475786	0.469102878718894	0.400987297501535	0.170786670114954
ACOX1	Other	0.456675749023095	0.527062462926264	0.385779677696727	0.30326308567315	0.596038347830385	0.507906832024964
ACOX2	Other	-0.230243404560883	0.00782409347991962	-0.0754404204887053	0.0353107622298648	0.00512426182464252	-0.0581210673345841
ACOX3	Other	-0.196996890139928	0.0278477235301676	-0.153698015675315	-0.197779492018142	-0.12153445039185	-0.136202876114452
ACOXL	Other	0.367461493742527	0.410963853339414	0.279735058149911	0.370140654811426	0.508074930643453	0.397668180761427
ACP1	Other	0.0942191347835872	-0.0127908539903143	-0.0700416728454292	0.00306279040182567	-0.316517963284377	-0.524452432805056
ACP2	Other	-0.204902477318262	-0.339318979080476	-0.257016927172193	0.0558611997262174	-0.249696128209676	-0.344194705669956
ACP5	Other	1.2888579773935	1.25209761012149	1.30156685051808	1.3326367395703	1.17625272975981	1.0954706616131
ACP6	Other	0.809587875151262	0.841914177964547	0.674336761524574	0.87869719239742	0.777245069109223	0.862421506719945
ACPP	Other	-0.545728134636059	-0.517344426238291	-0.608040816446522	-0.497764982657642	-0.628544668781141	-0.68288174438539
ACPT	Other	-0.10280374122254	0.149847260960405	-0.0939460282398619	-0.08013359336237	-0.267029987149047	-0.160985080344003
ACR	Other	0.89595553779377	0.958804809379576	0.804636547090435	0.968334402287229	0.704589733228429	0.763513807645416
ACRBP	Other	0.454317133430188	0.478530886724958	0.3442741371858	0.466487247083336	0.273276747188597	0.330930802414445
ACRC	Other	1.12458555917778	1.03767422004536	1.14066889725106	1.01419902824754	1.06648139350149	1.01062459374575
ACRV1	Other	1.11713638663301	1.19124349144372	1.13572671928532	1.17790926612389	0.959125520450196	0.981743970216041
ACSBG1	Other	0.587407100348206	0.612168479440794	0.575487386515337	0.511787226607486	0.38623837536241	0.591263621240311
ACSBG2	Other	0.800306015315804	0.81941676945018	0.834283773406537	0.839664815806097	0.90110495834964	0.838391049073097
ACSF2	Other	0.504754667682543	0.321725978219183	0.419642374296126	0.51273084099308	0.47277604937195	0.562387241562954
ACSF3	Other	0.323967654888372	0.233115417033187	0.135024092240206	0.402572626608091	0.136995597838729	0.123942251127061
ACSL1	Other	0.491813511320114	0.510602002459285	0.67039663208507	0.622184606666816	0.412222045230165	0.315516708178125
ACSL3	Other	-0.0681043254796049	0.0700426491408057	0.0636573307015061	-0.103740738007226	0.253004300221	0.299175410987168
ACSL4	Other	0.246616426658044	0.378441919762961	0.397817673696524	0.380634048348276	0.372919294910956	0.415644645253671
ACSL5	Other	0.643977218852239	0.910004452677085	0.721221788099133	0.800442348267662	0.485860078923877	0.413363726252014
ACSL6	Other	0.135879104561976	0.0470462550306556	0.131335475612316	0.22229742635731	0.112099196248477	0.270172364126077
ACSM1	Other	0.27986127895789	0.195683222173022	0.253054124604094	0.197270094787262	0.157501260668656	0.340672373445958
ACSM2A	Other	0.46397056902638	0.662218404455382	0.662712550681617	0.578387122124606	0.701359674719413	0.871931256315316
ACSM2B	Other	0.735633659533325	0.634406588766241	0.68443509661129	0.716360286789794	0.542979203713533	0.67999833345733
ACSM3	Other	0.410168648457378	0.288772701276426	0.248972157980412	0.382949900443546	0.469603324146411	0.302026407231277
ACSM4	Other	0.0818811304170517	-0.138756658698638	0.159012175142901	-0.146158238493543	-0.15938612828068	-0.164774013204148
ACSM5	Other	-0.401130854133759	-0.321267339053961	-0.307937247630299	-0.437800856436955	-0.410639304287501	-0.200931961103993
ACSM6	Other	0.0396359077787263	-0.044687831198879	-0.0879494088059789	-0.0502530311452014	-0.164140494220294	-0.135039453696807
ACSS1	Other	0.643563873783967	0.446840114798728	0.517364660568227	0.496948495415171	0.337959461866249	0.250310910382765
ACSS2	Other	0.274507764486145	0.248628709708779	0.280865465485786	0.157445790927593	-0.0145902160394349	-0.164568350068261
ACSS3	Other	0.486161694031727	0.553211164510782	0.519103803014206	0.68874266698895	0.386870267422805	0.356690445050737
ACTA1	Other	-0.497026666866616	-0.389279252441659	-0.562021036440307	-0.264497056699511	-0.500253850311981	-0.400886604968538
ACTA2	Other	0.529792742593807	0.74831053456272	0.456253373800096	0.671944096808449	0.580995210775682	0.785199041333136
ACTB	Other	-1.07825799359526	-1.18053395356858	-1.02760216614159	-0.900806941413926	0.0141387427125184	0.00369536546556888
ACTBL2	Other	0.383163227823924	0.49364497358993	0.388333367054046	0.255490736233541	0.242635903310773	0.197338412856481
ACTC1	Other	-0.240551787139166	-0.157753646646144	-0.28662728503198	-0.255041323093302	-0.31606796812791	-0.225172479522161
ACTG1	Other	0.080442728535097	-0.175692716380137	0.0693365081579449	-0.0148263250579507	0.257445945139996	0.121708411652346
ACTG2	Other	0.0507969496856565	0.109491798921053	0.140298907844365	0.215393112553574	-0.0366079802631655	0.00628913732165939
ACTL10	Other	0.840070590706937	0.857085486637708	0.804126202698993	0.810556581921579	0.588948472997055	0.733719140284501
ACTL6A	Other	-0.470623985981742	-0.393837191181626	-0.35596390244532	-0.43896737434938	0.66141294162787	0.613121033651983
ACTL6B	Other	0.371635213676459	0.222989669929881	0.370610333779377	0.295579043464532	0.190275230848806	0.247235737880636
ACTL7A	Nonessential	-0.195030361027916	0.0473385832423446	-0.020832678554786	-0.0569190063334354	0.0480141443850819	-0.0526403573532411
ACTL7B	Nonessential	-0.363208216180224	-0.618688005329043	-0.500263787085142	-0.442823420360862	-0.406570467088453	-0.659003045617751
ACTL8	Other	-0.293632335865764	-0.170442080919714	-0.432697522271298	-0.409436399312653	-0.418135525770769	-0.366256870876536
ACTL9	Nonessential	0.359937946289823	0.201477337507312	0.154234843950089	0.0357148944765054	0.0205513729568084	0.000538549875608918
ACTN1	Other	0.037537330665821	-0.00408300661412286	-0.0423864029935332	0.194612363966445	-0.0417955017760699	-0.152826662627806
ACTN2	Other	-0.356912031564295	-0.490543004453157	-0.469039371345926	-0.432132892618094	-0.502608898254476	-0.50935448010649
ACTN4	Other	0.549652646228222	0.520997112427556	0.593271395324389	0.48414179221824	0.491584007648246	0.628407258876424
ACTR10	Other	-0.179152867992639	0.038255562199644	-0.229893520091941	-0.0297466957188501	0.487801846956022	0.393142497096972
ACTR1A	Other	0.559008476155097	0.471124537154364	0.502434942672283	0.420767256377618	0.655893524489034	0.482721146230186
ACTR1B	Other	0.349795564697832	0.387335742647035	0.267722945563065	0.235747083397687	0.53739883615974	0.29401269145588
ACTR2	Other	-1.64432742682602	-1.47915821244755	-1.75895268339099	-1.43236796548566	-0.278455367674987	-0.246226853195656
ACTR3	Other	0.592508242695054	0.551173840627039	0.684905422083876	0.615812040328525	1.19483369023972	1.11195099345043
ACTR3B	Other	0.246838745118362	0.319098336957381	0.407059383018296	0.324452419111797	0.146543502471471	0.147845528070529
ACTR3C	Other	0.138756135227133	-0.062032165057168	0.00495630841929269	0.111262882193461	0.0442142312090428	0.241076497891887
ACTR5	Other	-0.712564370097378	-0.722208505543294	-0.65473144359371	-0.566252388805271	0.192376119798615	0.251101729106119
ACTR6	Other	-0.215647066014841	-0.199913283693566	-0.357208003555968	-0.396045211671746	0.418639223185743	0.606980843569599
ACTR8	Other	-0.310714015694883	-0.535079306422513	-0.228574829536039	-0.411802859836659	0.634390854720912	0.644505502472094
ACTRT1	Nonessential	0.244067224580726	0.152716849050355	0.0571382375068696	0.11821326440463	0.106994594673019	0.0654905769968981
ACTRT2	Other	0.286576327757445	0.358323658566124	0.354802866636339	0.281361256063587	0.0672239011559793	0.128216481457332
ACTRT3	Other	0.0779139317802476	0.288228846619582	0.192324939538536	0.202779056900926	0.0472592802973999	0.0426490183747735
ACVR1	Other	0.582313765057643	0.546368977557596	0.32915263201654	0.502695476555227	0.300767501691224	0.452069182287638
