Gene	Category	CCK	pDNA
ADCYAP1	Other	0.0624574803200587	0.163614983917254
ADCYAP1R1	Other	0.232908144500174	0.225660792443795
ADD1	Other	1.38908460533579	1.39319236658758
ADD2	Other	-0.0246522737096778	0.172527853475682
ADD3	Other	0.268105239647443	0.327156209497709
ADH1A	Other	0.507023176968027	0.395708398194198
ADH1B	Other	0.109467355135352	0.189342329864216
ADH4	Other	0.377879747755788	0.253688025201943
ADH5	Other	0.99659196603849	1.01080058361049
ADH6	Other	0.229251784118995	0.0678216411320624
ADH7	Nonessential	0.456976474178054	0.416933750604633
ADHFE1	Other	1.33735643190781	1.33023154049061
ADI1	Other	-0.334582644213025	-0.406621655941052
ADIG	Other	0.453155769864015	0.44659969727098
ADIPOQ	Other	0.278981616846941	0.141399116246972
ADIPOR1	Other	0.15477394271538	0.00171252160405387
ADIPOR2	Other	0.953090266582079	0.79612008037402
ADIRF	Other	-0.287335710970025	-0.243548135777668
ADK	Other	0.763025419166422	0.796551289844713
ADM	Other	0.235285396594383	0.101114016895846
ADM2	Other	0.121031549639897	-0.0502515217010168
ADM5	Other	0.233831821373183	0.362617890835963
ADNP	Other	0.00442127382953535	0.0755375731321522
ADNP2	Other	0.399292904997963	0.217572496136339
ADO	Other	0.164031505235362	0.105807137418653
ADORA1	Other	0.0603667003615911	0.127983258532193
ADORA2A	Other	0.953281375321125	0.839110830644462
ADORA2B	Other	-0.311964727324527	-0.0624280711038977
ADORA3	Other	0.696172105929862	0.624304018602994
ADPGK	Other	-0.521333511855373	-0.379954633981859
ADPRH	Other	-0.564085085291518	-0.363387423856526
ADPRHL1	Other	0.63384075579628	0.558243398860184
ADPRHL2	Other	-0.324946310124026	-0.100067085565732
ADPRM	Other	0.419596509164062	0.245567665465326
ADRA1A	Other	0.084750475875731	-0.178436680588254
ADRA1B	Other	1.08720439186999	0.993341736224578
ADRA1D	Other	0.0197268902571199	-0.0765625211559049
ADRA2A	Other	-0.199291518939281	-0.325207144595239
ADRA2B	Other	0.254017239962938	0.14043949290631
ADRA2C	Other	0.156796884916595	0.0995252531622445
ADRB1	Other	0.00765732888027926	0.0128129767672678
ADRB2	Other	-0.594359460433509	-0.568030207362302
ADRB3	Other	1.07087640441646	0.898087627724694
ADRBK1	Other	-0.0747674466528605	0.0990735938441895
ADRBK2	Other	0.304571073468028	0.411166602230502
ADRM1	Other	-0.185266373474247	-0.00592953256621516
