Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2	pDNA_0	pDNA_2
ACOXL	Other	0.289104141279459	0.249058783042568	0.249505645558888	0.508074930643453	0.397668180761427
ACP1	Other	-0.260379315014885	-0.306459963484267	-0.315398597491083	-0.316517963284377	-0.524452432805056
ACP2	Other	-0.223430782341075	-0.33659472175472	-0.379916534049919	-0.249696128209676	-0.344194705669956
ACP5	Other	1.1843110940026	1.26323832284028	1.31811735162678	1.17625272975981	1.0954706616131
ACP6	Other	0.615753580890222	0.642710899235941	0.667947983739567	0.777245069109223	0.862421506719945
ACPP	Other	-0.624704595279277	-0.427334075103974	-0.698744831392264	-0.628544668781141	-0.68288174438539
ACPT	Other	-0.0849597206266169	-0.132810174790208	-0.12034872042146	-0.267029987149047	-0.160985080344003
ACR	Other	0.991560346649291	0.935678789928977	0.804861901530026	0.704589733228429	0.763513807645416
ACRBP	Other	0.564740872878454	0.434436816638994	0.494413858005285	0.273276747188597	0.330930802414445
ACRC	Other	0.971457149181412	1.02982484832387	0.879312098895986	1.06648139350149	1.01062459374575
ACRV1	Other	1.00050930971558	1.11255454991143	1.11215131719555	0.959125520450196	0.981743970216041
ACSBG1	Other	0.570276994877908	0.551111673658232	0.739330816978945	0.38623837536241	0.591263621240311
ACSBG2	Other	0.739565658563372	0.876076240480688	0.926415259717233	0.90110495834964	0.838391049073097
ACSF2	Other	0.582538001627592	0.699324671703714	0.467804638256447	0.47277604937195	0.562387241562954
ACSF3	Other	0.298336635260603	0.248033351702719	0.183051667211965	0.136995597838729	0.123942251127061
ACSL1	Other	0.306013937701545	0.477347345354127	0.36171130868582	0.412222045230165	0.315516708178125
ACSL3	Other	0.42043196674427	0.280907627693229	0.24458154406771	0.253004300221	0.299175410987168
ACSL4	Other	0.56714322735116	0.52737960457748	0.500473333302793	0.372919294910956	0.415644645253671
ACSL5	Other	0.654720274332492	0.554789438541493	0.623908893617722	0.485860078923877	0.413363726252014
ACSL6	Other	0.137682450468697	0.322880037492496	0.331818894710174	0.112099196248477	0.270172364126077
ACSM1	Other	0.474397273736169	0.448669936725167	0.426468479705017	0.157501260668656	0.340672373445958
ACSM2A	Other	1.00416887688855	0.923912824852559	0.882792790624646	0.701359674719413	0.871931256315316
ACSM2B	Other	0.943792040065941	0.894135006958777	0.98234614411625	0.542979203713533	0.67999833345733
ACSM3	Other	0.31600751159013	0.263753056472279	0.454705528686863	0.469603324146411	0.302026407231277
ACSM4	Other	-0.0323791984866405	0.0644968116759053	-0.019661369351246	-0.15938612828068	-0.164774013204148
ACSM5	Other	-0.150355758626093	0.0390178142978075	-0.158802420299233	-0.410639304287501	-0.200931961103993
ACSM6	Other	-0.019492782693838	0.0220296232370422	-0.0647452525365005	-0.164140494220294	-0.135039453696807
ACSS1	Other	0.189285000276038	0.192152584497237	0.337839150281854	0.337959461866249	0.250310910382765
ACSS2	Other	-0.0302647757430627	0.0818748184781614	0.110411287623524	-0.0145902160394349	-0.164568350068261
ACSS3	Other	0.358784476036121	0.36966740442192	0.384269739753292	0.386870267422805	0.356690445050737
ACTA1	Other	-0.452217671762282	-0.430944530976085	-0.571455746601541	-0.500253850311981	-0.400886604968538
ACTA2	Other	0.738235655773678	0.696400013571973	0.788049706484159	0.580995210775682	0.785199041333136
ACTB	Other	0.0466271769231856	0.041296727921369	-0.0764144906805187	0.0141387427125184	0.00369536546556888
ACTBL2	Other	0.101696885486523	0.157774438124845	0.325258938507767	0.242635903310773	0.197338412856481
ACTC1	Other	-0.257095167248649	-0.212728853469716	-0.167063986164225	-0.31606796812791	-0.225172479522161
ACTG1	Other	-0.139803363229802	-0.112265593532291	-0.144798959134318	0.257445945139996	0.121708411652346
ACTG2	Other	0.0689022029806262	0.014343508657606	-0.0331141650865013	-0.0366079802631655	0.00628913732165939
ACTL10	Other	0.70641970864963	0.571264261465472	0.794437650385007	0.588948472997055	0.733719140284501
ACTL6A	Other	0.394078691016202	0.42363303772025	0.318278043683426	0.66141294162787	0.613121033651983
ACTL6B	Other	0.273593567620067	0.0486343647011901	0.204946279312548	0.190275230848806	0.247235737880636
ACTL7A	Nonessential	-0.102885747241028	-0.186819721990658	-0.401896267639264	0.0480141443850819	-0.0526403573532411
ACTL7B	Nonessential	-0.702144270575562	-0.734368888744837	-0.544818378857378	-0.406570467088453	-0.659003045617751
ACTL8	Other	-0.2308590986263	-0.361183085274115	-0.396817476624302	-0.418135525770769	-0.366256870876536
ACTL9	Nonessential	0.17923412864728	0.189968886029756	0.13199996211192	0.0205513729568084	0.000538549875608918
ACTN1	Other	-0.164721486169511	-0.0978976440386311	0.0297477792887072	-0.0417955017760699	-0.152826662627806
ACTN2	Other	-0.693304788836871	-0.759946777508566	-0.628463087111733	-0.502608898254476	-0.50935448010649
ACTN4	Other	0.412038170050166	0.395461555307581	0.415086589172612	0.491584007648246	0.628407258876424
ACTR10	Other	0.30029255209664	0.345545486577649	0.504505863461345	0.487801846956022	0.393142497096972
ACTR1A	Other	0.181251357690225	0.330397658436752	0.324118265683095	0.655893524489034	0.482721146230186
ACTR1B	Other	0.210019984286725	0.197368929777733	0.22647336570446	0.53739883615974	0.29401269145588
ACTR2	Other	-0.572569490559343	-0.729847683110237	-0.69091829124676	-0.278455367674987	-0.246226853195656
ACTR3	Other	1.11414277019931	1.05091911888694	1.05458022895462	1.19483369023972	1.11195099345043
ACTR3B	Other	0.304355099411599	0.0993727188369758	0.340634670705267	0.146543502471471	0.147845528070529
ACTR3C	Other	0.011889457179411	0.256707627650029	0.107832076809739	0.0442142312090428	0.241076497891887
ACTR5	Other	0.275279245303567	0.312866512312859	0.117416581244306	0.192376119798615	0.251101729106119
ACTR6	Other	0.506955107730798	0.411951976335309	0.382615610741113	0.418639223185743	0.606980843569599
ACTR8	Other	0.344470883939552	0.395185200632844	0.32078901365481	0.634390854720912	0.644505502472094
ACTRT1	Nonessential	0.0825313688755436	-0.0434521561819613	0.148017232013456	0.106994594673019	0.0654905769968981
ACTRT2	Other	0.149851779311458	0.367782727131943	0.353957430349601	0.0672239011559793	0.128216481457332
ACTRT3	Other	0.00384473654819545	0.133020326409755	0.0715660024784564	0.0472592802973999	0.0426490183747735
ACVR1	Other	0.3934683593636	0.403383095907581	0.503104317650807	0.300767501691224	0.452069182287638
ACVR1B	Other	0.370316003236302	0.324470162954158	0.300155809151423	0.363048179839423	0.414508821679337
ACVR1C	Other	-0.10575197557411	-0.198941308900706	-0.0762345121957631	-0.190053814325888	-0.298253179291206
ACVR2A	Other	0.0163134571032401	-0.087520992760383	-0.0429595404798428	0.27022019184233	0.0856914058792575
ACVR2B	Other	0.0231545259716245	-0.0980903943806718	0.169710376389009	-0.129963227442968	-0.220297712990775
ACVRL1	Other	0.357385677014011	0.466772151976331	0.319793445538316	0.111408813670592	0.329249300713078
ACY1	Other	0.253305832144434	0.294382081747024	0.318942297357059	0.205481870739012	0.179050627481742
ACY3	Other	0.0755820822432253	0.0410940466366172	-0.114593990725135	0.141212241834211	0.169380118040125
ACYP1	Other	0.653504817012372	0.666583621828848	0.774824851229664	0.774976264220072	0.800960181498329
ACYP2	Other	0.373231273393759	0.466696150658214	0.364968761711245	0.219886616604178	0.265576123521726
ADA	Other	0.796865442375796	0.854559169169277	0.946909326485077	0.901772420378765	0.862279192493669
ADAD1	Nonessential	0.987875627136812	1.05662092560386	1.03502407800513	1.03100047497848	1.03824606273191
ADAD2	Other	-0.00873967372330242	-0.0372147245034638	-0.224704698924094	-0.0828817554340146	-0.0696151796672609
ADAL	Other	0.985691662179412	0.964378539792672	1.02991762999473	1.02088678559564	0.915844510096187
