sgRNA,Gene,Category
ALCAM-2,ALCAM,Other
ALCAM-3,ALCAM,Other
ALCAM-4,ALCAM,Other
ABCD1-1,ABCD1,Other
ABCD1-2,ABCD1,Other
ABCD1-3,ABCD1,Other
ABCD1-4,ABCD1,Other
ALDH1A1-1,ALDH1A1,Other
ALDH1A1-2,ALDH1A1,Other
ALDH1A1-3,ALDH1A1,Other
ALDH1A1-4,ALDH1A1,Other
ALDH2-1,ALDH2,Other
ALDH2-2,ALDH2,Other
ALDH2-3,ALDH2,Other
ALDH2-4,ALDH2,Other
ALDH3A1-1,ALDH3A1,Other
ALDH3A1-2,ALDH3A1,Other
ALDH3A1-3,ALDH3A1,Other
ALDH3A1-4,ALDH3A1,Other
ALDH1B1-1,ALDH1B1,Other
ALDH1B1-2,ALDH1B1,Other
ALDH1B1-3,ALDH1B1,Other
ALDH1B1-4,ALDH1B1,Other
ALDH1A3-1,ALDH1A3,Other
ALDH1A3-2,ALDH1A3,Other
ALDH1A3-3,ALDH1A3,Other
ALDH1A3-4,ALDH1A3,Other
ALDH3B1-1,ALDH3B1,Other
ALDH3B1-2,ALDH3B1,Other
ALDH3B1-3,ALDH3B1,Other
ALDH3B1-4,ALDH3B1,Other
ALDH3B2-1,ALDH3B2,Other
ALDH3B2-2,ALDH3B2,Other
ALDH3B2-3,ALDH3B2,Other
ALDH3B2-4,ALDH3B2,Other
ALDH9A1-1,ALDH9A1,Other
ALDH9A1-2,ALDH9A1,Other
ALDH9A1-3,ALDH9A1,Other
ALDH9A1-4,ALDH9A1,Other
ALDH3A2-1,ALDH3A2,Other
ALDH3A2-2,ALDH3A2,Other
ALDH3A2-3,ALDH3A2,Other
ALDH3A2-4,ALDH3A2,Other
ABCD2-1,ABCD2,Other
ABCD2-2,ABCD2,Other
ABCD2-3,ABCD2,Other
ABCD2-4,ABCD2,Other
ALDOA-1,ALDOA,Other
ALDOA-2,ALDOA,Other
ALDOA-3,ALDOA,Other
ALDOA-4,ALDOA,Other
ALDOB-1,ALDOB,Other
ALDOB-2,ALDOB,Other
